KP288743.1	KP288743	Symmerus nobilis small subunit ribosomal RNA gene, partial sequence	100.000	2030	0.0	3749
KC005782.1	GU214518	Neocatenulostroma germanicum CBS 539.88 small subunit ribosomal RNA gene, partial sequence	100.000	178	6.01e-90	329
MK114142.1	AY268121	Meloidogyne javanica small subunit ribosomal RNA gene, partial sequence	96.429	84	1.68e-32	139
KX389478.1	AF052892	Palythoa variabilis small subunit ribosomal RNA gene, partial sequence	96.341	164	4.71e-71	267
KC864853.1	AF052937	Junceella racemosa small subunit ribosomal RNA gene, partial sequence	96.774	93	1.38e-37	156
FJ968531.1	FJ968531	Blastocrithidia largi small subunit ribosomal RNA gene, partial sequence	100.000	2267	0.0	4187
AM168089.1	AM168089	Cavenderia mexicana small subunit ribosomal RNA gene, partial sequence	100.000	1911	0.0	3530
EF433452.1	AY216698	Lysiphlebus testaceipes small subunit ribosomal RNA gene, partial sequence	99.438	178	6.56e-88	324
MK114143.1	AJ966499	Pratylenchus thornei small subunit ribosomal RNA gene, partial sequence	97.727	88	2.29e-36	152
AF293674.1	MF599307	Euplokamis dunlapae small subunit ribosomal RNA gene, partial sequence	95.732	1804	0.0	2898
KX855747.1	M19172	Plasmodium falciparum small subunit ribosomal RNA gene, complete sequence	100.000	41	1.01e-13	76.8
KJ716761.1	X15590	Fragaria x ananassa genotype 8343-6 small subunit ribosomal RNA gene, complete sequence	100.000	51	3.44e-19	95.3
KM384989.1	AF370793	Locusta migratoria small subunit ribosomal RNA gene, partial sequence	98.675	151	1.62e-71	268
EU980613.1	EU980613	Sappinia pedata CDC V564 small subunit ribosomal RNA gene, partial sequence	100.000	2426	0.0	4481
KP012465.1	KF696362	Plasmodium ovale wallikeri small subunit ribosomal RNA gene, complete sequence	96.330	109	2.38e-44	178
KC429365.1	KC429365	Lucina pensylvanica small subunit ribosomal RNA gene, partial sequence	100.000	1766	0.0	3262
NR_028861.1	AY643826	Trichia persimilis small subunit ribosomal RNA gene, partial sequence	86.792	106	9.46e-26	117
JAIXMR010000205.1	JN974022	Rhizopus stolonifer ss8 small subunit ribosomal RNA gene, partial sequence	95.822	1795	0.0	2887
