LC136798.1	LC136798	Percutemincola moriokae IMUm001 small subunit ribosomal RNA gene, partial sequence	100.000	1203	0.0	2222
MG988601.1	MG988601	Pachypsylla venusta small subunit ribosomal RNA gene, partial sequence	100.000	2313	0.0	4272
AY596365.1	AY596365	Occasjapyx japonicus small subunit ribosomal RNA gene, partial sequence	100.000	2040	0.0	3768
KC109664.1	KC109664	Reticulamoeba gemmipara 6 small subunit ribosomal RNA gene, partial sequence	100.000	2184	0.0	4026
GQ326910.1	GQ326910	Himatina trophina small subunit ribosomal RNA gene, partial sequence	100.000	1890	0.0	3491
LN875144.1	LN875144	Nuclearia delicatula small subunit ribosomal RNA gene, partial sequence	100.000	2312	0.0	4270
EF202868.1	EF202868	Gambierdiscus belizeanus small subunit ribosomal RNA gene, partial sequence	100.000	1729	0.0	3193
MG264559.1	MG264559	Monocercomonoides acer Tene79 small subunit ribosomal RNA gene, partial sequence	100.000	2693	0.0	4974
AY532365.1	AY532365	Leitoscoloplos pugettensis small subunit ribosomal RNA gene, partial sequence	100.000	1861	0.0	3437
FJ481912.1	FJ481912	Nosema ceranae C7 small subunit ribosomal RNA gene, complete sequence	100.000	1258	0.0	2324
AF121062.1	AF121062	Anopheles punctulatus small subunit ribosomal RNA gene, partial sequence	100.000	2102	0.0	3882
AB091230.1	AB091230	Galdieria sulphuraria SAG21.92 small subunit ribosomal RNA gene, partial sequence	100.000	1776	0.0	3269
KC822923.1	KC822923	Neozygites cinarae small subunit ribosomal RNA gene, partial sequence	100.000	1389	0.0	2566
JN940697.1	JN940697	Smittium mucronatum RMBL-61-10 small subunit ribosomal RNA gene, partial sequence	100.000	1879	0.0	3470
JF699573.1	JF699573	Neonaesa rugosa small subunit ribosomal RNA gene, partial sequence	100.000	2376	0.0	4388
EU815287.1	EU815287	Sisyra vicaria small subunit ribosomal RNA gene, partial sequence	100.000	2268	0.0	4189
KT304824.1	KT304824	Discoplastis adunca Bubsu100210Q small subunit ribosomal RNA gene, partial sequence	100.000	2163	0.0	3995
